"Position","Name","Type","Signal","Label"
"A1","VDDUSB","Power","",""
"A2","PA15 (JTDI)","I/O","",""
"A3","PD1","I/O","",""
"A4","VDD","Power","",""
"A5","PG10","I/O","",""
"A6","VDDIO2","Power","",""
"A7","PB6","I/O","",""
"A8","PB9","I/O","",""
"A9","VSS","Power","",""
"A10","VDD","Power","",""
"B1","VSS","Power","",""
"B2","PA14 (JTCK/SWCLK)","I/O","",""
"B3","PD0","I/O","",""
"B4","PD4","I/O","",""
"B5","PG9","I/O","",""
"B6","PG12","I/O","",""
"B7","PB5","I/O","",""
"B8","PB8","I/O","",""
"B9","PE2","I/O","",""
"B10","PE3","I/O","",""
"C1","PA12","I/O","",""
"C2","PA13 (JTMS/SWDIO)","I/O","",""
"C3","PC11","I/O","",""
"C4","PC12","I/O","",""
"C5","PD7","I/O","",""
"C6","PB3 (JTDO/TRACESWO)","I/O","",""
"C7","PB4 (NJTRST)","I/O","",""
"C8","PE4","I/O","",""
"C9","PC13","I/O","",""
"C10","VBAT","Power","",""
"D1","PA11","I/O","",""
"D2","PA10","I/O","",""
"D3","PA9","I/O","",""
"D4","PC10","I/O","",""
"D5","PD6","I/O","",""
"D6","PG11","I/O","",""
"D7","PB7","I/O","",""
"D8","PE5","I/O","",""
"D9","VSS","Power","",""
"D10","PC14-OSC32_IN (PC14)","I/O","",""
"E1","PC8","I/O","",""
"E2","PC9","I/O","",""
"E3","PA8","I/O","",""
"E4","PD2","I/O","",""
"E5","PD5","I/O","",""
"E6","PH3-BOOT0","I/O","",""
"E7","PE6","I/O","",""
"E8","NRST","Reset","",""
"E9","VDD","Power","",""
"E10","PC15-OSC32_OUT (PC15)","I/O","",""
"F1","VDD","Power","",""
"F2","PC6","I/O","",""
"F3","PC7","I/O","",""
"F4","PD15","I/O","",""
"F5","PB2","I/O","",""
"F6","PA4","I/O","",""
"F7","PC3","I/O","",""
"F8","PC1","I/O","",""
"F9","PC0","I/O","",""
"F10","PH0-OSC_IN (PH0)","I/O","",""
"G1","PD10","I/O","",""
"G2","PD9","I/O","",""
"G3","PD14","I/O","",""
"G4","PE13","I/O","",""
"G5","PE12","I/O","",""
"G6","PA5","I/O","",""
"G7","VREF+","MonoIO","",""
"G8","VREF-","Power","",""
"G9","PA0","I/O","",""
"G10","PH1-OSC_OUT (PH1)","I/O","",""
"H1","PB15","I/O","",""
"H2","PB14","I/O","",""
"H3","PD8","I/O","",""
"H4","PE15","I/O","",""
"H5","PE10","I/O","",""
"H6","PC4","I/O","",""
"H7","PA2","I/O","",""
"H8","PA1","I/O","",""
"H9","VSSA","Power","",""
"H10","PC2","I/O","",""
"J1","PB12","I/O","",""
"J2","PB13","I/O","",""
"J3","PB11","I/O","",""
"J4","PE14","I/O","",""
"J5","PE9","I/O","",""
"J6","PB0","I/O","",""
"J7","PA7","I/O","",""
"J8","VDD","Power","",""
"J9","PA3","I/O","",""
"J10","VDDA","Power","",""
"K1","VDD","Power","",""
"K2","VSS","Power","",""
"K3","PB10","I/O","",""
"K4","PE11","I/O","",""
"K5","PE8","I/O","",""
"K6","PE7","I/O","",""
"K7","PB1","I/O","",""
"K8","PC5","I/O","",""
"K9","PA6","I/O","",""
"K10","VSS","Power","",""
